date,time,object,zone,point,dba_min,dba_max,mode,height,music,guests,temp_c,rh_pct,note
2026-09-09,~11-15,Rozybakieva,все,фон без музыки,50.9,53.2,"SLOW (часть AVG)",разная,нет,нет,25.9-28.0,30.9-36.9,"базовый фон объекта; близко к сомнительному дну прибора"
2026-09-09,15:4x,Rozybakieva,Z3,вход/ресепшн,54.6,57.6,SLOW,?,да,нет,27.0,30.8,"первый замер с музыкой; источник - USB/MP3 в SABO SA-3550U"
2026-09-09,15:5x,Rozybakieva,Z3,проход после ресепшена,54.9,58.7,SLOW,?,да,нет,27.3,34.1,"практически совпадает с ресепшеном - перехода по звуку нет"
2026-09-09,16:0x,Rozybakieva,Z3,вход перед залом,53.6,57.2,SLOW,?,да,нет,27.5,32.6,"третья точка подряд в той же полосе - переходов нет"
2026-09-09,16:1x,Rozybakieva,Z4,зона перед входом справа,54.2,58.2,SLOW,?,да,нет,27.8,35.6,"уже в зале; уровень тот же, что в холле - скачка на входе в зал нет"
